タスクプロフィールコード,タスクプロフィール種別,タスクプロフィールグループ,タスクプロフィール,タスクプロフィールの説明
A-010-010,ビジネスタイプ別,-,自社向け情報システム開発・保守・運用,自社向けシステムの開発・保守・運用を担う部門（IT/非IT企業の情報システム部門）に関連するタスク
A-010-020,ビジネスタイプ別,-,システム受託開発,アプリケーションシステムおよび基盤システムの受託開発を担う企業に関連するタスク
A-010-030,ビジネスタイプ別,-,ソフトウェア製品開発,ソフトウェア製品の企画・開発・販売を担う企業に関連するタスク
A-010-040,ビジネスタイプ別,-,組込みソフトウェア開発,組込みソフトウェアの開発を担う企業に関連するタスク
A-010-050,ビジネスタイプ別,-,Webサイト構築・運用,顧客のWebサイトの構築および運用を担う企業に関連するタスク
A-010-060,ビジネスタイプ別,-,システム運用サービス（運用業務受託）,顧客のシステム運用業務を受託して実施する企業に関連するタスク
A-010-070,ビジネスタイプ別,-,システム運用サービス（データセンタ運営）,自社のデータセンタ施設を持ち、顧客のシステム運用業務を受託して実施する企業に関連するタスク
A-010-080,ビジネスタイプ別,-,ITコンサルティング,ITコンサルティング（戦略、企画）を担う企業に関連するタスク
B-010-010,開発対象別,-,アプリケーションシステム,アプリケーションシステム開発に関連するタスク
B-010-020,開発対象別,-,基盤システム,プラットフォーム、ネットワーク、データベース等の基盤システム（インフラ）構築に関連するタスク
B-010-030,開発対象別,-,ソフトウェア製品,製品として販売されるソフトウェア（組込みソフトウェアを除く）に関連するタスク
B-010-040,開発対象別,-,組込みソフトウェア,自動車、家電製品、各種機械等に組み込まれるソフトウェアの開発に関連するタスク
B-010-050,開発対象別,-,Webサイト,企業ホームページ、EC等のWebサイト開発に関連するタスク
C-010-010,開発手法別,-,ウォーターフォール,ウォーターフォール型の開発に関連するタスク
C-010-020,開発手法別,-,アジャイル,アジャイル型の開発に関連するタスク
C-010-030,開発手法別,-,パッケージ利用,アプリケーションシステムの開発において、ERPパッケージ（部品としてのパッケージは除く）を適用する場合に関連するタスク
D-010-010,新ビジネス別,クラウドビジネス,クラウドビジネスクリエイト,クラウドサービスの価値を活かして、社内外、業界外等幅広いプレーヤーやステークホルダと協業し、新ビジネスの創造や既存ビジネスの付加価値向上等に寄与する人材に必要なタスク
D-010-020,新ビジネス別,クラウドビジネス,クラウドビジネスアーキテクト,多種多様なクラウドサービスを吟味・選択して、顧客・自社が目指すビジネス、サービスを具現化する人材に必要なタスク
D-010-030,新ビジネス別,クラウドビジネス,クラウドアーキテクト,顧客・自社クラウドサービスを企画、構築、運用、改善のライフサイクル全般にわたり実現する人材に必要なタスク
D-020-010,新ビジネス別,データサイエンス,ビジネスアナリスト,利用者（顧客）の目的に応じたデータ活用施策、計画を具体化し、活用のためのプロセス/システムを確立する人材に必要なタスク
D-020-020,新ビジネス別,データサイエンス,データ解析スペシャリスト,データ活用の目的に適うデータ要件を具体化し、各種統計解析手法に基づくデータ解析を通じて、データ活用システムのモデル作成とチューニングを行う人材に必要なタスク
D-020-030,新ビジネス別,データサイエンス,データ活用システムエンジニア,データ活用の目的に則して、利用データソース加工、BI/Analyticsツールを含むデータ活用システムの構築と運用を担う人材に必要なタスク
D-030-010,新ビジネス別,情報セキュリティ関連業務,コンサルタント（情報リスクマネジメント）,"以下の業務を遂行する人材に必要なタスク\nビジネス機能内で情報マネジメントが適切に実現される土台としての組織体制の整備や組織内の各種ルール整備等に関する支援を担う。組織ガバナンスやリスクマネジメント、コンプライアンス等に関する領域において、ITソリューションを前提としたコンサルティングを行う。"
D-030-020,新ビジネス別,情報セキュリティ関連業務,ITアーキテクト（セキュリティアーキテクチャ）,"以下の業務を遂行する人材に必要なタスク\n強固なセキュリティ対策が求められる情報システムのアーキテクチャの設計を担う役割。システムの企画・開発・構築・運用の各工程において、情報セキュリティ対策が十分に機能し、維持されることを担保する組織設計、ルール設計、プロセス設計もあわせて行う。"
D-030-030,新ビジネス別,情報セキュリティ関連業務,セキュリティアドミニストレータ（情報セキュリティアドミニストレータ）,"以下の業務を遂行する人材に必要なタスク\n自社の情報セキュリティ戦略やポリシーの策定等を推進する役割。戦略策定のほか、戦略実行体制の確立や開発組織の統括も担う。また、企業内のセキュリティ業務全体を俯瞰し、アウトソース等のリソース配分の判断・決定も行う。"
D-030-040,新ビジネス別,情報セキュリティ関連業務,セキュリティアドミニストレータ（ISセキュリティアドミニストレータ）,"以下の業務を遂行する人材に必要なタスク\n自社の情報セキュリティ対策の具体化や実施を統括する役割。企業全体としての情報セキュリティ戦略やポリシーを具体的な計画や手順に落とし込み、対策の立案や実施（指示・統括）、その見直しなどを行う。また、利用者に対する教育等も実施する。"
D-030-050,新ビジネス別,情報セキュリティ関連業務,セキュリティアドミニストレータ（インシデントハンドラ）,"以下の業務を遂行する人材に必要なタスク\n自社内のセキュリティインシデント発生直後の初動対応（被害拡大防止策の実施）や被害からの復旧業務の実施において、自らあるいは適切な対応者をアサインして対応にあたる役割。被害の拡大防止のために、適切かつ迅速な対応が求められる。"
D-030-060,新ビジネス別,情報セキュリティ関連業務,セキュリティマネージャ（組込みセキュリティ）,製品に関するリスク対応の観点に基づき、機能安全を含む製品のセキュリティの側面から、企画・開発・製造・保守などにわたるセキュリティライフサイクルを統括し責任をもつ人材に必要なタスク
D-030-070,新ビジネス別,情報セキュリティ関連業務,ITスペシャリスト（セキュリティ）,"情報システムの設計・開発・運用において、情報セキュリティに関する高い専門性を発揮するスペシャリストに必要なタスク\nセキュリティインシデントが発生した際は、高度な技術的スキルを駆使して原因の究明や復旧対応等も担う。"
D-030-080,新ビジネス別,情報セキュリティ関連業務,情報セキュリティマネジメント,情報システムの利用部門において、情報セキュリティリーダとして、部門の業務遂行に必要な情報セキュリティ対策や組織が定めた情報セキュリティ諸規程（情報セキュリティポリシを含む組織内諸規程）の目的・内容を適切に理解し、情報及び情報システムを安全に活用するために、情報セキュリティが確保された状況を実現し、維持・改善する。
D-040-010,新ビジネス別,プログラムマネジメント,プログラムマネージャ,IT戦略の実現に向けて、事業のIＴ化、情報基盤整備等のプログラム（複数の個別プロジェクト）の状況把握、リスク分析、並びに対策の検討と実施推進を行う人材に必要なタスク
D-050-010,新ビジネス別,IT融合,バリュークリエイト,"多くの事象に好奇心を持って価値あるアイデアを見つけ出し、議論と体験を通してアイデアを磨く。\n自社内に限らず他組織とのアライアンスを積極的に推進し、多様性のあるチームを構築する。"
D-050-020,新ビジネス別,IT融合,ビジネスモデルデザイン,"収益モデルに精通し、自社製品の価値を最大限に高めるスキームを検討し、ビジネスモデルを描く。\nビジネスモデル実現のために、ステークホルダに対して説得を行う。"
D-050-030,新ビジネス別,IT融合,サービスクリエイト,"事業運営に至る手順および段取りを理解し、効率的に新規製品・サービスの企画・開発・提供を実現する。\n改善の意識が高く、事業化後の分析・検証を通して自社製品・サービスの拡大に貢献する。"
E-010-010,役割別,戦略的職務,ITストラテジプランニング,企業の経営戦略と整合したIT戦略・計画の策定と評価およびITガバナンスの推進を行う。
E-010-020,役割別,戦略的職務,ビジネスリレーションシップマネジメント,事業部門の事業戦略と整合したIT戦略・計画の策定と評価を行う。
E-010-030,役割別,戦略的職務,テクニカルマネジメント,企業全体のIT戦略・計画と整合したテクニカルアーキテクチャの統括と全体最適化を行う。
E-010-040,役割別,戦略的職務,ビジネスストラテジプランニング,企業全体のIT戦略に基づき、各事業部門の企画担当、IT化担当と協業した事業部門のIT戦略・計画の策定、並びにその評価を行う。
E-010-050,役割別,戦略的職務,情報ストラテジプランニング,企業が保有する様々な情報・データを収集・統合して分析し、経営戦略・事業戦略立案のインプットとなるインサイト（洞察、見識）を導き出す。
E-020-010,役割別,企画・開発・運用職務,ビジネスアナリシス,担当事業のビジネスの側面からITに関するニーズを把握、分析し、適切なITソリューションを企画、提案する。
E-020-020,役割別,企画・開発・運用職務,プロジェクトマネジメント,システム開発プロジェクトの計画立案とプロジェクト実行管理、並びに評価（個別プロジェクトの管理）を行う。
E-020-030,役割別,企画・開発・運用職務,ITアーキテクチャデザイン,アプリケーションシステム、基盤システム、システム運用の自社の現状と最新技術動向を把握し、標準化と啓発活動を推進して品質の向上と効率化を促す。
E-020-040,役割別,企画・開発・運用職務,アプリケーションデザイン,企画されたITソリューションの実装として、個別のアプリケーションシステムの開発を行う。
E-020-050,役割別,企画・開発・運用職務,テクニカルエンジニアリング,企画されたITソリューションの実装として、テクニカルアーキテクチャの設計、DB、ネットワーク、基盤システムの構築を行う。
E-020-060,役割別,企画・開発・運用職務,ITサービスマネジメント,システム運用サービス管理（個別システムの運用設計、運用評価と改善）、システム運用業務、並びにアプリケーション保守（小規模なエンハンスを含む）を行う。
E-020-070,役割別,企画・開発・運用職務,Webプロデュース,Webサイト全体の管理者（またはその補佐）として、Webサイトの開発、運用、管理を行う。
E-030-010,役割別,中小規模ビジネス推進,ストラテジックプランナ,"企業や部門の戦略策定、予算管理、事業企画を実施する。\n市場開拓や事業戦略等の総合的な経営戦略をリードし、企業の発展に寄与する"
E-030-020,役割別,中小規模ビジネス推進,ビジネスプロデューサ,"顧客ニーズや技術動向を踏まえてシステムやサービスを企画し、提案、導入まで責任を持つ。\n自身が市場開拓のセールスとして、また顧客との接点となるプロジェクトマネージャとして、プロジェクトを遂行するための一連の業務を執り行う。"
E-030-030,役割別,中小規模ビジネス推進,プロジェクトディレクタ,"プロジェクトの立上げ、計画策定、遂行を統括し、契約上の納入物に責任を持つ。\nプロジェクトに関する総合的なマネジメントを行い、戦略的な業務展開をリードする。"
E-030-040,役割別,中小規模ビジネス推進,システムコンサルタント,"顧客のビジネス上の課題をITを活用して解決するための助言・提案を行う。\n顧客の経営戦略を推進するために、顧客業務を分析して経営上の課題を見つけ出し、解決に向けて最適なシステム導入の具体的なプランを立てた上で、総合的なソリューションを提案する。"
E-030-050,役割別,中小規模ビジネス推進,ITアーキテクト,"ビジネス上の問題解決や新手法開発のために、システム全体を俯瞰したアーキテクチャを設計する。\n顧客の要求を満たすアーキテクチャデザインを行い、システムの設計、開発において技術面で総合的にリードする。"
E-030-060,役割別,中小規模ビジネス推進,ITマイスタ（ネットワーク）,ネットワーク技術に習熟し、システム設計、導入およびテストを実施する。
E-030-070,役割別,中小規模ビジネス推進,ITマイスタ（データベース）,データベース技術に習熟し、システム設計、導入およびテストを実施する。
E-030-080,役割別,中小規模ビジネス推進,ITマイスタ（セキュリティ）,セキュリティ技術に習熟し、システム設計、導入およびテストを実施する。
E-030-090,役割別,中小規模ビジネス推進,ITマイスタ（プラットフォーム）,OS・ミドルウェア・運用技術に習熟し、システム設計、導入およびテストを実施する。
E-030-100,役割別,中小規模ビジネス推進,ITマイスタ（アプリケーション）,プログラミング・ソフトウェアエンジニアリングに習熟し、システム設計、導入およびテストを実施する。
E-030-110,役割別,中小規模ビジネス推進,ソリューションセールス,パッケージソフトやソリューションに関する知識を持ち、顧客の経営状況や業界動向、課題やニーズを把握した上で、システム導入を提案する。
E-030-120,役割別,中小規模ビジネス推進,システムコンシェルジュ,ハードウェア、ソフトウェア、パッケージソフト、ソリューションの運用・保守において、顧客の立場に立ったサービスの提供に努め、顧客満足を得る。
E-040-010,役割別,特定職務,プログラムマネジメント,企業の経営戦略の実現に向けて、事業のIＴ化、情報基盤整備等のプログラム（複数の個別プロジェクト）の状況把握、リスク分析、並びに対策の検討と実施推進を行う。
E-040-020,役割別,特定職務,情報セキュリティ統括,企業の経営戦略に基づき、情報資産に対する社内外からの脅威やリスクへの対応に責任を持つ。
E-040-030,役割別,特定職務,DR/BCP,事業継続計画のIT領域に関わる計画策定から遂行までの責任を持つ。
E-040-040,役割別,特定職務,リスクマネジメント,IT領域に関わるリスク管理、並びにコンプライアンス管理の方針策定、体制の整備から実施、改善までの責任を持つ。
E-040-050,役割別,特定職務,システム監査,IT機能が適切かつ健全に運営されるよう、その監査の計画、遂行に責任を持つ。
E-040-060,役割別,特定職務,人材開発,IT部門の人的資源確保のために、人材育成施策の企画、遂行に責任を持つ。
E-040-070,役割別,特定職務,アウトソース統括,IT領域に関わるアウトソースとの適切な契約関係を実現、維持するために、契約業務全般の基準・ルール等の整備や維持管理に責任を持つ。
E-040-080,役割別,特定職務,ラインマネジメント,部門の管理者として、部門全体の業務遂行、リソースマネジメント、メンバの育成と評価に責任を持つ。
E-040-090,役割別,特定職務,マーケティング,顧客や市場が求めている商品・サービスを調査し、製品・価格・流通経路などに関する政策の企画・推進を行う。
E-040-100,役割別,特定職務,セールス,担当する製品・サービスの特性、ターゲット市場、機能等に精通し、最適な製品・サービスの組み合わせにより顧客の課題やニーズに応える提案を行い、受注する。
E-040-110,役割別,特定職務,総務,社内管理、社外対応、全社的活動の推進など企業活動全般をサポートする。
E-040-120,役割別,特定職務,人事,人事（人事制度の企画・運用、要員計画の作成、採用・配置・退職管理、賃金管理等）、人材開発（人材開発プランや教育訓練計画の策定・運用、研修効果の検証等）、労務管理（労使関係の維持・向上、就業管理・安全衛生管理の推進、福利厚生制度の企画・運用等）に関する業務を担う。
E-040-130,役割別,特定職務,経理・財務,財務会計（会計情報の開示を目的とした貸借対照表、損益計算書、キャッシュフロー計算書等の作成等）、税務会計（課税所得の計算および税務当局に提出する納税申告書の作成等）、資金管理業務（現預金等取引、資金繰り表の作成、資金調達・資金運用、経営管理に必要な情報の作成等）に関する業務を担う。
E-040-140,役割別,特定職務,法務,外部の専門家と協力して、企業内外で法律判断を必要とする事項に関する対応措置の検討や、法的問題の未然防止、紛争が発生した際の処理を行う。
E-040-150,役割別,特定職務,購買・調達,社内の要求に基づき機器、資材の発注先を選定し、適正な価格で契約し、購入する。また、業務委託先の選定、契約、要員管理、納品物の検収等を行う。
E-040-160,役割別,特定職務,監査,会社が健全かつ効率的に運営されるための内部監査および外部監査対応を担う。
E-040-170,役割別,特定職務,教育・研修,自社もしくは顧客の人材育成を目的として、研修ニーズの分析、研修の企画、開発、運営、実施、評価を行う。
